id,text,normalized,domain,embedding,frequency,category,importance,is_emerging,created_at
c9c7d85a-0b45-4785-a9d7-31482e308195,Circuit Design,circuit_design,Electrical & Computer Engineering,,9,Electrical & Computer Engineering,required,f,2026-04-07 00:04:41.855293
877daf2c-7a74-4b6c-b7ea-c9354c71ab9a,Pcb Design,pcb_design,Electrical & Computer Engineering,,6,Electrical & Computer Engineering,required,f,2026-04-07 00:04:42.042465
1cddd95a-9dc4-4520-bf13-9651949e354d,Space Acquisition Programs,space_acquisition_programs,"Organizations, Strategy & Intl Mgmt",,1,"Organizations, Strategy & Intl Mgmt",required,f,2026-04-06 23:56:24.749534
62b7e61e-4213-4684-b2c0-402e8f90c724,Semiconductor Technology,semiconductor_technology,Electrical & Computer Engineering,,1,Electrical & Computer Engineering,required,f,2026-04-07 00:20:21.113663
6e3cfb65-a8dd-40c5-b1ef-cbc6b04e14f4,Software Security,software_security,Computer Science,,1,Computer Science,required,f,2026-04-06 23:55:24.1623
82a70d89-d59d-43d8-8e39-4566dc317f1e,Spice Simulation,spice_simulation,Electrical & Computer Engineering,,1,Electrical & Computer Engineering,preferred,f,2026-04-07 00:44:22.06637
68a923c8-8208-420d-900e-2494ed748aa3,Semiconductor Development,semiconductor_development,Electrical & Computer Engineering,,1,Electrical & Computer Engineering,required,f,2026-04-07 00:20:21.35359
d64b0e4b-2feb-4adf-842d-cc3b88b21225,Embedded Systems,embedded_systems,Electrical & Computer Engineering,,17,Electrical & Computer Engineering,preferred,f,2026-04-06 23:53:57.658747
c5ae5a84-e1c3-4808-912c-a8f9f2e974f2,Test Strategy Definition,test_strategy_definition,Electrical & Computer Engineering,,1,Electrical & Computer Engineering,required,f,2026-04-07 00:20:21.538614
80a075a7-ee0e-4fab-aeac-6e59cad9fcbc,Federal Government Contracting,federal_government_contracting,Computer Science,,1,Computer Science,preferred,f,2026-04-06 23:55:24.179959
0805e213-9d0d-40a2-9b62-56ce8ed43841,Program Life Cycle Management,program_life_cycle_management,"Organizations, Strategy & Intl Mgmt",,1,"Organizations, Strategy & Intl Mgmt",required,f,2026-04-06 23:56:24.817221
b827e779-e462-4338-bdff-06903a8c13f5,Express.Js,express.js,Computer Science,,1,Computer Science,preferred,f,2026-04-06 23:52:52.230335
20c06acb-b0c9-485b-a94e-f9da0020455b,Dod Programs,dod_programs,Computer Science,,1,Computer Science,preferred,f,2026-04-06 23:55:24.200188
d9ab73ab-d5d5-4dd5-82e4-288ec2050e56,Sqs/Sns,sqs/sns,Computer Science,,1,Computer Science,required,f,2026-04-06 23:55:30.890044
